iter	RMSE
371	1729.546904
372	1728.585752
373	1727.810038
374	1727.086066
375	1725.877069
376	1725.02538
377	1723.957458
378	1722.996593
379	1722.309353
380	1721.390288
381	1720.605799
382	1719.507143
383	1718.837183
384	1718.144211
385	1717.28147
386	1717.266901
387	1716.004985
388	1715.374432
389	1714.672159
390	1713.753338
391	1713.019055
392	1712.258193
393	1712.244237
394	1711.312776
395	1710.816101
396	1709.885386
397	1708.846246
398	1708.65932
399	1708.009951
400	1707.130127
401	1707.01614
402	1706.886403
403	1705.263117
404	1704.263632
405	1703.110698
406	1701.986252
407	1701.172813
408	1699.858467
409	1698.719128
410	1697.570455
411	1696.30692
412	1695.538769
413	1694.683173
414	1693.390803
415	1692.483411
416	1691.983832
417	1691.881438
418	1691.002705
419	1689.970197
420	1689.302579
421	1688.945669
422	1688.2318
423	1687.340949
424	1686.561617
425	1685.688513
426	1684.902079
427	1684.308673
428	1683.877112
429	1683.107885
430	1682.481822
431	1681.539627
432	1681.105373
433	1680.399303
434	1679.480664
435	1678.717098
436	1678.31427
437	1676.745228
438	1676.203533
439	1675.430565
440	1674.682487
441	1674.184597
442	1673.455755
443	1672.42908
444	1671.467393
445	1671.257466
446	1670.517155
447	1669.848489
448	1669.206954
449	1669.196122
450	1668.437118
451	1667.746329
452	1667.041398
453	1667.030911
454	1665.809881
455	1664.656723
456	1663.910256
457	1663.291561
458	1661.932797
459	1661.308411
460	1659.981483
461	1659.100036
462	1658.655733
463	1658.012875
464	1657.478057
465	1656.80559
466	1656.05791
467	1655.967852
468	1654.690332
469	1653.913802
470	1653.211209
471	1652.086452
472	1651.507469
473	1651.115975
474	1650.68454
475	1650.294224
476	1649.534756
477	1648.715063
478	1648.387672
479	1648.377856
480	1647.48361
481	1647.330526
482	1646.533378
483	1645.369657
484	1644.945466
485	1644.391652
486	1643.069585
487	1642.617167
488	1642.142919
489	1641.55321
490	1640.506798
491	1639.878172
492	1639.697814
493	1639.6887
494	1638.92341
495	1638.172879
496	1637.56872
497	1637.136447
498	1636.434904
499	1636.161102
500	1636.076454
501	1635.418014
502	1634.859064
503	1634.495493
504	1633.882299
505	1633.377499
506	1632.718248
507	1632.054583
508	1632.045979
509	1631.458311
510	1631.44999
511	1630.842118
512	1630.584192
513	1630.297541
514	1629.617275
515	1628.902131
516	1628.188975
517	1627.470074
518	1626.733801
519	1625.905485
520	1625.131463
521	1624.421206
522	1623.794548
523	1623.331002
524	1622.504235
525	1621.781009
526	1621.200354
527	1620.572588
528	1619.903558
529	1619.386351
530	1618.820473
531	1618.460133
532	1617.826366
533	1617.149804
534	1616.522698
535	1615.710477
536	1614.677046
537	1614.185701
538	1613.48677
539	1613.004404
540	1612.227371
541	1611.389699
542	1611.307703
543	1610.952241
544	1610.338717
545	1610.277543
546	1609.274686
547	1608.701762
548	1608.343588
549	1607.705434
550	1607.06167
551	1606.486729
552	1606.009142
553	1605.389786
554	1605.318086
555	1604.979798
556	1604.370889
557	1604.247146
558	1603.828247
559	1603.181549
560	1602.892447
561	1602.43182
562	1601.763634
563	1601.693805
564	1601.157627
565	1600.413983
566	1600.355002
567	1599.766881
568	1599.387229
569	1598.866155
570	1598.337525
571	1597.744013
572	1597.107828
573	1596.47908
574	1596.076349
575	1595.022617
576	1594.53352
577	1594.384005
578	1593.484616
579	1593.091558
580	1592.518825
581	1592.162014
582	1591.853824
583	1591.150513
584	1590.607403
585	1589.976619
586	1589.426709
587	1588.848626
588	1588.321822
589	1587.378309
590	1586.701448
591	1586.188577
592	1585.630757
593	1585.311751
594	1584.711784
595	1584.375022
596	1583.88927
597	1583.553779
598	1583.087027
599	1582.224955
600	1581.861918
601	1581.359614
602	1580.842882
603	1580.39114
604	1579.933208
605	1579.520635
606	1578.97904
607	1578.7224
608	1578.434982
609	1578.113539
610	1577.967012
611	1576.996296
612	1576.507713
613	1575.787615
614	1575.3189
615	1574.82951
616	1574.648866
617	1574.044788
618	1573.784048
619	1573.405517
620	1572.96896
621	1572.565653
622	1572.058759
623	1571.534991
624	1571.081956
625	1570.692647
626	1570.452651
627	1570.102967
628	1569.664947
629	1569.083175
630	1568.641312
631	1568.148726
632	1567.676959
633	1567.035183
634	1566.36031
635	1565.900144
636	1565.330355
637	1564.799396
638	1564.449185
639	1563.705738
640	1563.199518
641	1562.660887
642	1562.173294
643	1561.5525
644	1560.870575
645	1560.74343
646	1560.189769
647	1559.809633
648	1559.567424
649	1559.08322
650	1558.587923
651	1558.207747
652	1557.446778
653	1557.295652
654	1556.825424
655	1556.425835
656	1556.195446
657	1555.725109
658	1555.158425
659	1554.577123
660	1554.113426
661	1553.794249
662	1553.679626
663	1553.240763
664	1552.780539
665	1552.224428
666	1551.743612
667	1551.239015
668	1550.78926
669	1550.493395
670	1549.860473
671	1549.490512
672	1549.162452
673	1548.639817
674	1548.17838
675	1547.725754
676	1547.51953
677	1547.030163
678	1546.692001
679	1546.237434
680	1545.809982
681	1545.375237
682	1545.204677
683	1544.797767
684	1544.273375
685	1543.880651
686	1543.735222
687	1543.298277
688	1542.973402
689	1542.538553
690	1542.085219
691	1541.649231
692	1541.165876
693	1540.762192
694	1540.300993
695	1539.841093
696	1539.738662
697	1539.420377
698	1539.240444
699	1538.676872
700	1538.285577
701	1537.973411
702	1537.534896
703	1537.169211
704	1536.735643
705	1536.326822
706	1535.993549
707	1535.636512
708	1535.251351
709	1534.759743
710	1534.359349
711	1533.987501
712	1533.311211
713	1533.020838
714	1532.440649
715	1532.276201
716	1531.87302
717	1531.4751
718	1531.043311
719	1530.543713
720	1530.00816
721	1529.656656
722	1529.180925
723	1528.735679
724	1528.641134
725	1528.151105
726	1527.661833
727	1527.273581
728	1526.760458
729	1526.261943
730	1525.899919
731	1525.586742
732	1525.242845
733	1524.866656
734	1524.424818
735	1524.069903
736	1523.84273
737	1523.298969
738	1522.717633
739	1522.63904
740	1522.538033
741	1521.974711
742	1521.469407
743	1521.236378
744	1520.780469
745	1520.045979
746	1519.652811
747	1519.19514
748	1518.665926
749	1518.427575
750	1517.932725
751	1517.398935
752	1516.876921
753	1516.49426
754	1516.07711
755	1515.686678
756	1515.421812
757	1514.944629
758	1514.644014
759	1514.252938
760	1513.521917
761	1513.13611
762	1512.7952
763	1512.600808
764	1512.326711
765	1511.968401
766	1511.662555
767	1511.338166
768	1510.856051
769	1510.552262
770	1510.034006
771	1509.653176
772	1509.392895
773	1508.888379
774	1508.344343
775	1507.913173
776	1507.587177
777	1507.299286
778	1506.95031
779	1506.602946
780	1505.999419
781	1505.625688
782	1505.190181
783	1504.735012
784	1504.452881
785	1504.101377
786	1503.777985
787	1503.695421
788	1503.35114
789	1502.960493
790	1502.557136
791	1502.112016
792	1501.706648
793	1501.313015
794	1500.82312
795	1500.577208
796	1500.197839
797	1499.67385
798	1499.291759
799	1498.962536
800	1498.550936
801	1498.170867
802	1497.863927
803	1497.481773
804	1497.307279
805	1496.801386
806	1496.454163
807	1496.032007
808	1495.755424
809	1495.310434
810	1494.57651
811	1494.311112
812	1493.953886
813	1493.479535
814	1492.975235
815	1492.407729
816	1492.069423
817	1491.662507
818	1491.178154
819	1490.838956
820	1490.390997
821	1490.299516
822	1489.947772
823	1489.281573
824	1489.082898
825	1488.84995
826	1488.580506
827	1488.174889
828	1487.80071
829	1487.301182
830	1486.924007
831	1486.468784
832	1486.270062
833	1485.897113
834	1485.553468
835	1484.854321
836	1484.52272
837	1484.217237
838	1484.008658
839	1483.767979
840	1483.420366
841	1483.021837
842	1482.686886
843	1482.250796
844	1481.910838
845	1481.423767
846	1481.281766
847	1481.018032
848	1480.718958
849	1480.438045
850	1480.077583
851	1479.88873
852	1479.455547
853	1479.153239
854	1478.644287
855	1478.410172
856	1478.123538
857	1477.641896
858	1477.226832
859	1476.906879
860	1476.566147
861	1476.324513
862	1475.948345
863	1475.572145
864	1475.091633
865	1474.671066
866	1474.249408
867	1473.868153
868	1473.562674
869	1473.118855
870	1472.88826
871	1472.519161
872	1472.280526
873	1472.20467
874	1471.961774
875	1471.660831
876	1471.448687
877	1471.187125
878	1470.980377
879	1470.66765
880	1470.343453
881	1469.958105
882	1469.430455
883	1469.254443
884	1468.940653
885	1468.74083
886	1468.295978
887	1468.015646
888	1467.620162
889	1467.167669
890	1466.823129
891	1466.365489
892	1466.058027
893	1465.778571
894	1465.546341
895	1465.33106
896	1465.002293
897	1464.686897
898	1464.430749
899	1464.158072
900	1463.77242
901	1463.567996
902	1463.359185
903	1463.131205
904	1462.867672
905	1462.581532
906	1462.295444
907	1462.083334
908	1461.676432
909	1461.287965
910	1460.935912
911	1460.611688
912	1460.262464
913	1460.070721
914	1459.84496
915	1459.596998
916	1459.355456
917	1459.014624
918	1458.919553
919	1458.697675
920	1458.552989
921	1458.296949
922	1457.977981
923	1457.423383
924	1457.034846
925	1456.678442
926	1456.199547
927	1455.777482
928	1455.383873
929	1455.186884
930	1454.883001
931	1454.681042
932	1454.258154
933	1453.984912
934	1453.837445
935	1453.547698
936	1453.239479
937	1452.961926
938	1452.68325
939	1452.323172
940	1452.088946
941	1451.818891
942	1451.739402
943	1451.454861
944	1451.176099
945	1450.978052
946	1450.685677
947	1450.366441
948	1450.232355
949	1450.101507
950	1449.784519
951	1449.447031
952	1449.154235
953	1448.811187
954	1448.532582
955	1448.273639
956	1447.663917
957	1447.125476
958	1446.870114
959	1446.275807
960	1445.954416
961	1445.688802
962	1445.464038
963	1445.184222
964	1444.893237
965	1444.705353
966	1444.409655
967	1444.136371
968	1443.913959
969	1443.568534
970	1443.36467
971	1442.949743
972	1442.633304
973	1442.337654
974	1442.080615
975	1441.876021
976	1441.239845
977	1440.858255
978	1440.61904
979	1440.416037
980	1440.139957
981	1439.890157
982	1439.601687
983	1439.321436
984	1438.992259
985	1438.570107
986	1438.227179
987	1437.854456
988	1437.580596
989	1437.296093
990	1436.97128
991	1436.720138
992	1436.46918
993	1436.139449
994	1436.022874
995	1435.62298
996	1435.264493
997	1434.993317
998	1434.62645
999	1434.523165
